district_id;parliament_id;country_abb;region_abb;district_aliases;constituency_name;constituency_code_CLEA;constituency_name_CLEA;dist_magnitude;dist_list_voteshare;district_votes_total
CH_NT-NR_1947__Aargau;CH_NT-NR_1947;CH;AG;;Aargau;NA;;NA;;827041
CH_NT-NR_1947__Appenzell-A-RH;CH_NT-NR_1947;CH;AR;;Appenzell-A-RH;NA;;-992;;NA
CH_NT-NR_1947__Appenzell-I-RH;CH_NT-NR_1947;CH;AI;;Appenzell-I-RH;NA;;NA;;1404
CH_NT-NR_1947__Basel-Landschaft;CH_NT-NR_1947;CH;BL;;Basel-Landschaft;NA;;NA;;82659
CH_NT-NR_1947__Basel-Stadt;CH_NT-NR_1947;CH;BS;;Basel-Stadt;NA;;NA;;306258
CH_NT-NR_1947__Bern;CH_NT-NR_1947;CH;BE;;Bern;NA;;NA;;4500669
CH_NT-NR_1947__Fribourg;CH_NT-NR_1947;CH;FR;;Fribourg;NA;;NA;;205960
CH_NT-NR_1947__Geneve;CH_NT-NR_1947;CH;GE;;Geneve;NA;;NA;;201776
CH_NT-NR_1947__Glarus;CH_NT-NR_1947;CH;GL;;Glarus;NA;;NA;;16436
CH_NT-NR_1947__Graubuenden;CH_NT-NR_1947;CH;GR;;Graubuenden;NA;;NA;;161112
CH_NT-NR_1947__Luzern;CH_NT-NR_1947;CH;LU;;Luzern;NA;;NA;;367268
CH_NT-NR_1947__Neuchatal;CH_NT-NR_1947;CH;NE;;Neuchatal;NA;;NA;;94863
CH_NT-NR_1947__Nidwalden;CH_NT-NR_1947;CH;NW;;Nidwalden;NA;;NA;;3394
CH_NT-NR_1947__Obwalden;CH_NT-NR_1947;CH;OW;;Obwalden;NA;;NA;;1988
CH_NT-NR_1947__Schaffhausen;CH_NT-NR_1947;CH;SH;;Schaffhausen;NA;;NA;;29031
CH_NT-NR_1947__Schwyz;CH_NT-NR_1947;CH;SZ;;Schwyz;NA;;NA;;37127
CH_NT-NR_1947__Solothurn;CH_NT-NR_1947;CH;SO;;Solothurn;NA;;NA;;292989
CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947;CH;SG;;St-Gallen;NA;;NA;;785843
CH_NT-NR_1947__Thurgau;CH_NT-NR_1947;CH;TG;;Thurgau;NA;;NA;;193883
CH_NT-NR_1947__Ticino;CH_NT-NR_1947;CH;TI;;Ticino;NA;;NA;;213566
CH_NT-NR_1947__Uri;CH_NT-NR_1947;CH;UR;;Uri;NA;;NA;;3792
