list_id;list_name;parliament_id;district_id;list_level;list_number;party_id;list_length;list_votes_total_[source];list_type
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Baeuerlich-gewerblich-buergerliche-Liste;Baeuerlich-gewerblich-buergerliche-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;1;CH_CVP|PDC_RE-ZH;26;;
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Christlichsoziale-Liste;Christlichsoziale-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;2;CH_CVP|PDC_RE-SG;31;;
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Liste-der-Partei-der-Arbeit;Liste-der-Partei-der-Arbeit;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;3;CH_PdA_RE-ZH;31;;
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Sozialdemokratisch-Gewerkschaftliche-Liste;Sozialdemokratisch-Gewerkschaftliche-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;4;CH_SP|PS_RE-ZH;25;;
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Freisinnige-Liste;Freisinnige-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;5;CH_FDP_RE-ZH;31;;
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Demokratische-Liste;Demokratische-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;6;CH_DP_RE-ZH;31;;
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Liste-der-Evangelischen-Volkspartei;Liste-der-Evangelischen-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;7;CH_EVP|PEP_RE-ZH;30;;
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Landesring-der-Unabhaengigen;Landesring-der-Unabhaengigen;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;8;CH_LdU|ADI_RE-ZH;31;;
CH_NT-NR_1947__CH_NT-NR_1947__Zuerich__Liste-der-Liberalsozialistischen-Partei-Freiwirtschafter;Liste-der-Liberalsozialistischen-Partei-Freiwirtschafter;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_ZH;9;CH_LSP_RE-ZH;22;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Partei-der-Arbeit-des-Kantons-Bern;Partei-der-Arbeit-des-Kantons-Bern;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;1;;15;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Bern-Bauern-Gewerbe-und-Buergerpartei;Bern-Bauern-Gewerbe-und-Buergerpartei;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;2;CH_SVP|UDC_RE-BE;32;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Landesteilverband-Oberland;Landesteilverband-Oberland;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;3;CH_SVP|UDC_RE-BE;16;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Federation-regionale-jurassienne;Federation-regionale-jurassienne;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;4;CH_FJ_RE-BE;9;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Parti-democratique-catholique-du-canton-de-Berne;Parti-democratique-catholique-du-canton-de-Berne;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;5;CH_CVP|PDC_RE-BE;16;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Sozialdemokratische-Partei-des-Kantons-Bern;Sozialdemokratische-Partei-des-Kantons-Bern;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;6;CH_SP|PS_RE-BE;30;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Parti-socialiste-jurassien;Parti-socialiste-jurassien;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;7;CH_SP|PS_RE-BE;16;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Freisinnig-demokratische-Partei-des-Kantons-Bern;Freisinnig-demokratische-Partei-des-Kantons-Bern;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;8;CH_FDP_RE-BE;39;;
CH_NT-NR_1947__CH_NT-NR_1947__Bern__Parti-liberal-jurassien;Parti-liberal-jurassien;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_BE;9;CH_LPS_RE-BE;9;;
CH_NT-NR_1947__CH_NT-NR_1947__Luzern__Liberale-Partei;Liberale-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Luzern;CH_LU;1;CH_FDP_RE-LU;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Luzern__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Luzern;CH_LU;2;CH_SP|PS_RE-LU;6;;
CH_NT-NR_1947__CH_NT-NR_1947__Luzern__Konservative-und-christlichsoziale-Volkspartei;Konservative-und-christlichsoziale-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Luzern;CH_LU;3;CH_CVP|PDC_RE-LU;7;;
CH_NT-NR_1947__CH_NT-NR_1947__Uri__NA_UR_1;NA_UR_1;CH_NT-NR_1947;CH_NT-NR_1947__Uri;CH_UR;1;CH_none_RE-UR;1;;
CH_NT-NR_1947__CH_NT-NR_1947__Schwyz__Christlichsoziale-Partei;Christlichsoziale-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Schwyz;CH_SZ;1;;2;;
