parliament_id;leg_period_start;leg_period_end;level;country_abb;region_abb;leg_period;election_date;assembly_name;assembly_abb;election_type;coalition_parties;previous_parliament;next_parliament;;;;;
CH_NT-NR_1911;04dec1911;06dec1914;NT;CH;NA;22;29oct1911;Nationalrat;NR;;;NA;CH_NT-NR_1914;;;;;
CH_NT-NR_1914;07dec1914;02dec1917;NT;CH;NA;23;25oct1914;Nationalrat;NR;;;CH_NT-NR_1911;CH_NT-NR_1917;;;;;
CH_NT-NR_1917;03dec1917;30nov1919;NT;CH;NA;24;28oct1917;Nationalrat;NR;;;CH_NT-NR_1914;CH_NT-NR_1919;;;;;
CH_NT-NR_1919;01dec1919;03dec1922;NT;CH;NA;25;26oct1919;Nationalrat;NR;;;CH_NT-NR_1917;CH_NT-NR_1922;;;;;
CH_NT-NR_1922;04dec1922;06dec1925;NT;CH;NA;26;29oct1922;Nationalrat;NR;;;CH_NT-NR_1919;CH_NT-NR_1925;;;;;
CH_NT-NR_1925;07dec1925;02dec1928;NT;CH;NA;27;25oct1925;Nationalrat;NR;;;CH_NT-NR_1922;CH_NT-NR_1928;;;;;
CH_NT-NR_1928;03dec1928;06dec1931;NT;CH;NA;28;28oct1928;Nationalrat;NR;;;CH_NT-NR_1925;CH_NT-NR_1931;;;;;
CH_NT-NR_1931;07dec1931;01dec1935;NT;CH;NA;29;25oct1931;Nationalrat;NR;;;CH_NT-NR_1928;CH_NT-NR_1935;;;;;
CH_NT-NR_1935;02dec1935;03dec1939;NT;CH;NA;30;27oct1935;Nationalrat;NR;;;CH_NT-NR_1931;CH_NT-NR_1939;;;;;
CH_NT-NR_1939;04dec1939;05dec1943;NT;CH;NA;31;29oct1939;Nationalrat;NR;;;CH_NT-NR_1935;CH_NT-NR_1943;;;;;
CH_NT-NR_1943;06dec1943;30nov1947;NT;CH;NA;32;31oct1943;Nationalrat;NR;;;CH_NT-NR_1939;CH_NT-NR_1947;;;;;
CH_NT-NR_1947;01dec1947;02dec1951;NT;CH;NA;33;26oct1947;Nationalrat;NR;;;CH_NT-NR_1943;CH_NT-NR_1951;;;;;
CH_NT-NR_1951;03dec1951;04dec1955;NT;CH;NA;34;28oct1951;Nationalrat;NR;;;CH_NT-NR_1947;CH_NT-NR_1955;;;;;
CH_NT-NR_1955;05dec1955;06dec1959;NT;CH;NA;35;30oct1955;Nationalrat;NR;;;CH_NT-NR_1951;CH_NT-NR_1959;;;;;
CH_NT-NR_1959;07dec1959;01dec1963;NT;CH;NA;36;25oct1959;Nationalrat;NR;;;CH_NT-NR_1955;CH_NT-NR_1963;;;;;
CH_NT-NR_1963;02dec1963;03dec1967;NT;CH;NA;37;27oct1963;Nationalrat;NR;;;CH_NT-NR_1959;CH_NT-NR_1967;;;;;
CH_NT-NR_1967;04dec1967;28nov1971;NT;CH;NA;38;29oct1967;Nationalrat;NR;;;CH_NT-NR_1963;CH_NT-NR_1971;;;;;
CH_NT-NR_1971;29nov1971;30nov1975;NT;CH;NA;39;31oct1971;Nationalrat;NR;;;CH_NT-NR_1967;CH_NT-NR_1975;;;;;
CH_NT-NR_1975;01dec1975;25nov1979;NT;CH;NA;40;26oct1975;Nationalrat;NR;;;CH_NT-NR_1971;CH_NT-NR_1979;;;;;
